fecha,tipo_movimiento,estado,remito,variedad,lote,cantidad_kg,origen,destino,cliente,observaciones,hoja_origen,fila_origen,movement_number
2026-03-10,INBOUND,CONFIRMED,1002,Agata,AGATA-241,34500.000,,Dospanca,,b.roja y blancas s/tamañar dtv 13359963-0 | Transporte: serantes-vera,De campo a Frío,3,XLS-DE-CAMPO-A-FRIO-1002-R3
2026-03-11,INBOUND,CONFIRMED,828,Atlantic,ATLANTIC-417,7070.000,,Dospanca,,bolsa roja-hilo marrron dtv 13375303-6 | Transporte: fran cambronera,Env a Frio,19,XLS-ENV-A-FRIO-828-R19
2026-03-12,DISPATCH,CONFIRMED,674,King Russet,KING-RUSSET-910,28380.000,Santa Ana,,Wemar-mc Cain,directo de santa ana | DTV: 13374249-2 | Calibre: granel,Entregas a clientes 2026,2,XLS-ENTREGAS-A-CLIENTES-2026-674-R2
2026-03-12,DISPATCH,CONFIRMED,675,King Russet,KING-RUSSET-910,32040.000,Santa Ana,,Wemar-mc Cain,directo de santa ana | DTV: 13374271-9 | Calibre: granel,Entregas a clientes 2026,3,XLS-ENTREGAS-A-CLIENTES-2026-675-R3
2026-03-12,DISPATCH,CONFIRMED,678,King Russet,KING-RUSSET-910,33780.000,Santa Ana,,Wemar-mc Cain,directo de santa ana | DTV: 13380613-5 | Calibre: granel,Entregas a clientes 2026,4,XLS-ENTREGAS-A-CLIENTES-2026-678-R4
2026-03-12,INBOUND,CONFIRMED,829,Asterix,ASTERIX-820,6822.000,,Dospanca,,bolsa verde-hilo blanco dtv 13375184-5 | Transporte: cerone(raphael),Env a Frio,20,XLS-ENV-A-FRIO-829-R20
2026-03-12,INBOUND,CONFIRMED,829,Asterix,ASTERIX-821,19751.000,,Dospanca,,bolsa verde-hilo negro dtv idem | Transporte: cerone(raphael),Env a Frio,21,XLS-ENV-A-FRIO-829-R21
2026-03-12,INBOUND,CONFIRMED,829,Asterix,ASTERIX-821,925.000,,Dospanca,,bolsa papasud x 25kg cepillada dtv idem | Transporte: cerone(raphael),Env a Frio,22,XLS-ENV-A-FRIO-829-R22
2026-03-12,INBOUND,CONFIRMED,830,Atlantic,ATLANTIC-417,31540.000,,Dospanca,,bolsa roja-hilo marrron dtv 13380469-2 | Transporte: cerone(sotelo),Env a Frio,23,XLS-ENV-A-FRIO-830-R23
2026-03-13,INBOUND,CONFIRMED,1005,King Russet,KING-RUSSET-910,3008.000,,Galpón,,desc.bolsa blanca h.blanco. | Transporte: serantes-vera,De campo a Frío,4,XLS-DE-CAMPO-A-FRIO-1005-R4
2026-03-14,DISPATCH,CONFIRMED,679,King Russet,KING-RUSSET-910,28640.000,Santa Ana,,Wemar-mc Cain,directo de santa ana | DTV: 13382859-1 | Calibre: granel,Entregas a clientes 2026,5,XLS-ENTREGAS-A-CLIENTES-2026-679-R5
2026-03-16,INBOUND,CONFIRMED,24,Spunta,SPUNTA-14,36629.000,,Trevelin,,F2/G2 | Transporte: s.garcia(verdicchio),Ingreso  Trevelin,2,XLS-INGRESO-TREVELIN-24-R2
2026-03-25,INBOUND,CONFIRMED,28,Atlantic,ATLANTIC-11,32440.000,,Trevelin,,F7/G7 | Transporte: coronado lautaro,Ingreso  Trevelin,7,XLS-INGRESO-TREVELIN-28-R7
2026-03-25,DISPATCH,CONFIRMED,1106,Agata,AGATA-241,29080.000,Dospanca,,,"Retiro de frío. bolsa roja-hilo blanco sin tamañar 48,46 kg | Transporte: cerone(raphael)",Ret Frio,2,XLS-RET-FRIO-1106-R2
2026-03-26,INBOUND,CONFIRMED,25,Spunta,SPUNTA-14,35380.000,,Trevelin,,F3/G3 | Transporte: s.garcia(scho),Ingreso  Trevelin,3,XLS-INGRESO-TREVELIN-25-R3
2026-03-26,INBOUND,CONFIRMED,26,Spunta,SPUNTA-14,35960.000,,Trevelin,,F4/G4 | Transporte: s.garcia(stadler),Ingreso  Trevelin,4,XLS-INGRESO-TREVELIN-26-R4
2026-03-26,DISPATCH,CONFIRMED,1107,Agata,AGATA-241,29000.000,Dospanca,,,"Retiro de frío. bolsa roja-hilo blanco sin tamañar 48,17 kg | Transporte: cerone(sotelol)",Ret Frio,3,XLS-RET-FRIO-1107-R3
2026-03-27,INBOUND,CONFIRMED,1006,Spunta,SPUNTA-300,35980.000,,Dospanca,,b.blanca-dtv 13451462-0 | Transporte: Camillo Gastón,De campo a Frío,5,XLS-DE-CAMPO-A-FRIO-1006-R5
2026-03-27,INBOUND,CONFIRMED,27,Spunta,SPUNTA-14,17400.000,,Trevelin,,F5/G5 | Transporte: s.garcia(verdicchio),Ingreso  Trevelin,5,XLS-INGRESO-TREVELIN-27-R5
2026-03-27,INBOUND,CONFIRMED,27,Asterix,ASTERIX-18,18143.000,,Trevelin,,F6/G6 | Transporte: s.garcia(verdicchio),Ingreso  Trevelin,6,XLS-INGRESO-TREVELIN-27-R6
2026-03-27,INBOUND,CONFIRMED,29,Atlantic,ATLANTIC-11,24155.000,,Trevelin,,F10/G10 | Transporte: pizzuti,Ingreso  Trevelin,10,XLS-INGRESO-TREVELIN-29-R10
2026-03-27,INBOUND,CONFIRMED,29,Spunta,SPUNTA-14,5195.000,,Trevelin,,F8/G8 | Transporte: pizzuti,Ingreso  Trevelin,8,XLS-INGRESO-TREVELIN-29-R8
2026-03-27,INBOUND,CONFIRMED,29,Asterix,ASTERIX-18,4927.000,,Trevelin,,F9/G9 | Transporte: pizzuti,Ingreso  Trevelin,9,XLS-INGRESO-TREVELIN-29-R9
2026-03-28,INBOUND,CONFIRMED,1007,Spunta,SPUNTA-300,35920.000,,Dospanca,,b.blanca-hilo blanco | Transporte: serantes-vera,De campo a Frío,6,XLS-DE-CAMPO-A-FRIO-1007-R6
2026-03-28,INBOUND,CONFIRMED,31,Spunta,SPUNTA-13,33500.000,,Trevelin,,F12/G12 | Transporte: rastellini (godoy),Ingreso  Trevelin,12,XLS-INGRESO-TREVELIN-31-R12
2026-03-28,INBOUND,CONFIRMED,32,Spunta,SPUNTA-13,34495.000,,Trevelin,,F13/G13 | Transporte: rastellini (luis),Ingreso  Trevelin,13,XLS-INGRESO-TREVELIN-32-R13
2026-03-28,INBOUND,CONFIRMED,32,Atlantic,ATLANTIC-11,967.000,,Trevelin,,F14/G14 | Transporte: rastellini(luis),Ingreso  Trevelin,14,XLS-INGRESO-TREVELIN-32-R14
2026-03-29,INBOUND,CONFIRMED,1009,Asterix,ASTERIX-811,25000.000,,Galpón,,b.blanca-hilo blanco | Transporte: serantes-vera,De campo a Frío,10,XLS-DE-CAMPO-A-FRIO-1009-R10
2026-03-29,INBOUND,CONFIRMED,1009,Spunta,SPUNTA-300,10200.000,,Galpón,,b.blanca-hilo blanco | Transporte: Camillo Gastón,De campo a Frío,9,XLS-DE-CAMPO-A-FRIO-1009-R9
2026-03-30,INBOUND,CONFIRMED,1008,Agata,AGATA-225,27132.000,,Dospanca,,b.varias-hilo amarillo dtv 13462918-5 | Transporte: serantes-vera,De campo a Frío,7,XLS-DE-CAMPO-A-FRIO-1008-R7
2026-03-30,INBOUND,CONFIRMED,1008,Agata,AGATA-230,10200.000,,Dospanca,,b.varias-hilo verde dtv 13462918-5 | Transporte: serantes-vera,De campo a Frío,8,XLS-DE-CAMPO-A-FRIO-1008-R8
2026-03-30,INBOUND,CONFIRMED,1010,Memphis,MEMPHIS-511,10703.000,,Dospanca,,hilo amarillo | Transporte: serantes-vera,De campo a Frío,11,XLS-DE-CAMPO-A-FRIO-1010-R11
2026-03-30,INBOUND,CONFIRMED,1010,Memphis,MEMPHIS-510,14651.000,,Dospanca,,hilo verde | Transporte: Arenas,De campo a Frío,12,XLS-DE-CAMPO-A-FRIO-1010-R12
2026-03-30,INBOUND,CONFIRMED,1010,Sunred,SUNRED-520,11560.000,,Dospanca,,hilo blanco | Transporte: serantes-vera,De campo a Frío,13,XLS-DE-CAMPO-A-FRIO-1010-R13
2026-03-30,INBOUND,CONFIRMED,30,Spunta,SPUNTA-13,33220.000,,Trevelin,,F11/G11 | Transporte: coronado santiago,Ingreso  Trevelin,11,XLS-INGRESO-TREVELIN-30-R11
2026-03-30,INBOUND,CONFIRMED,34,Atlantic,ATLANTIC-11,22180.000,,Trevelin,,F15/G15 | Transporte: s.garcia(navarro),Ingreso  Trevelin,15,XLS-INGRESO-TREVELIN-34-R15
2026-03-30,INBOUND,CONFIRMED,34,Daifla,DAIFLA-15,13457.000,,Trevelin,,F16/G16 | Transporte: s.garcia (navarro),Ingreso  Trevelin,16,XLS-INGRESO-TREVELIN-34-R16
2026-03-31,INBOUND,CONFIRMED,1011,Agata,AGATA-230,36540.000,,Dospanca,,bolsa blanca -hilo verde s/tamañar | Transporte: serantes-vera,De campo a Frío,14,XLS-DE-CAMPO-A-FRIO-1011-R14
2026-03-31,INBOUND,CONFIRMED,1012,Agata,AGATA-230,10050.000,,Dospanca,,bolsa blanca-hilo verde s/tamañar | Transporte: serantes-vera,De campo a Frío,15,XLS-DE-CAMPO-A-FRIO-1012-R15
2026-03-31,INBOUND,CONFIRMED,1012,Quintera,QUINTERA-561,26688.000,,Dospanca,,bolsa marron | Transporte: Camillo Gastón,De campo a Frío,16,XLS-DE-CAMPO-A-FRIO-1012-R16
2026-04-01,INBOUND,CONFIRMED,s/remito,Asterix,ASTERIX-810,27700.000,,Galpón,,b.verde-h.verde  vuelve al galpon p/brasil | Transporte: cerone(raphael),Env a Frio,24,XLS-ENV-A-FRIO-S-REMITO-R24
2026-04-01,INBOUND,CONFIRMED,36,Agata,AGATA-2,5983.000,,Trevelin,,F17/G17 | Transporte: el salvador,Ingreso  Trevelin,17,XLS-INGRESO-TREVELIN-36-R17
2026-04-01,INBOUND,CONFIRMED,36,Spunta,SPUNTA-3,12397.000,,Trevelin,,F18/G18 | Transporte: el salvador,Ingreso  Trevelin,18,XLS-INGRESO-TREVELIN-36-R18
2026-04-01,INBOUND,CONFIRMED,36,King Russet,KING-RUSSET-10,3880.000,,Trevelin,,F19/G19 | Transporte: el salvador,Ingreso  Trevelin,19,XLS-INGRESO-TREVELIN-36-R19
2026-04-01,INBOUND,CONFIRMED,36,Ludmilla,LUDMILLA-6,1132.000,,Trevelin,,F20/G20 | Transporte: el salvador,Ingreso  Trevelin,20,XLS-INGRESO-TREVELIN-36-R20
2026-04-01,INBOUND,CONFIRMED,36,Alverstone,ALVERSTONE-42,2425.000,,Trevelin,,F21/G21 | Transporte: el salvador,Ingreso  Trevelin,21,XLS-INGRESO-TREVELIN-36-R21
2026-04-01,INBOUND,CONFIRMED,36,Markies,MARKIES-4,1725.000,,Trevelin,,F22/G22 | Transporte: el salvador,Ingreso  Trevelin,22,XLS-INGRESO-TREVELIN-36-R22
2026-04-01,INBOUND,CONFIRMED,36,Daifla,DAIFLA-5,3072.000,,Trevelin,,F23/G23 | Transporte: el salvador,Ingreso  Trevelin,23,XLS-INGRESO-TREVELIN-36-R23
2026-04-01,INBOUND,CONFIRMED,36,7 Four 7,7-FOUR-7-7,754.000,,Trevelin,,F24/G24 | Transporte: el salvador,Ingreso  Trevelin,24,XLS-INGRESO-TREVELIN-36-R24
2026-04-01,INBOUND,CONFIRMED,36,Ikarus,IKARUS-51,2857.000,,Trevelin,,F25/G25 | Transporte: el salvador,Ingreso  Trevelin,25,XLS-INGRESO-TREVELIN-36-R25
2026-04-01,INBOUND,CONFIRMED,36,Edison,EDISON-9,1994.000,,Trevelin,,F26/G26 | Transporte: el salvador,Ingreso  Trevelin,26,XLS-INGRESO-TREVELIN-36-R26
2026-04-01,INBOUND,CONFIRMED,36,Atlantic,ATLANTIC-1-B,54.000,,Trevelin,,F27/G27 | Transporte: el salvador,Ingreso  Trevelin,27,XLS-INGRESO-TREVELIN-36-R27
2026-04-01,DISPATCH,CONFIRMED,1108,Agata,AGATA-241,19520.000,Dospanca,,,"Retiro de frío. bolsa roja-hilo blanco sin tamañar 48,81 kg | Transporte: cerone(sotelol)",Ret Frio,4,XLS-RET-FRIO-1108-R4
2026-04-02,INBOUND,CONFIRMED,838,Spunta,SPUNTA-300,6854.000,,Cecive,,bolsa blanca-hilo blanco | Transporte: cerone(sotelo),Env a Frio,25,XLS-ENV-A-FRIO-838-R25
2026-04-02,INBOUND,CONFIRMED,839,Spunta,SPUNTA-700,19857.000,,Dospanca,,bolsa amarilla-hilo amarillo dtv 13488644-7 | Transporte: cerone(raphael),Env a Frio,26,XLS-ENV-A-FRIO-839-R26
2026-04-02,INBOUND,CONFIRMED,839,Asterix,ASTERIX-811,5500.000,,Dospanca,,bolsa verde-hilo amarillo | Transporte: cerone(raphael),Env a Frio,27,XLS-ENV-A-FRIO-839-R27
2026-04-02,INBOUND,CONFIRMED,37,Sagitta,SAGITTA-40,6980.000,,Trevelin,,F28/G28 | Transporte: walter gonzalez,Ingreso  Trevelin,28,XLS-INGRESO-TREVELIN-37-R28
2026-04-02,INBOUND,CONFIRMED,37,7 Four 7,7-FOUR-7-7,714.000,,Trevelin,,F29/G29 | Transporte: walter gonzalez,Ingreso  Trevelin,29,XLS-INGRESO-TREVELIN-37-R29
2026-04-02,INBOUND,CONFIRMED,37,Ludmilla,LUDMILLA-6,3188.000,,Trevelin,,F30/G30 | Transporte: walter gonzalez,Ingreso  Trevelin,30,XLS-INGRESO-TREVELIN-37-R30
2026-04-02,INBOUND,CONFIRMED,37,Asterix,ASTERIX-8,3737.000,,Trevelin,,F31/G31 | Transporte: walter gonzalez,Ingreso  Trevelin,31,XLS-INGRESO-TREVELIN-37-R31
2026-04-02,INBOUND,CONFIRMED,37,Sinatra,SINATRA-30,2143.000,,Trevelin,,F32/G32 | Transporte: walter gonzalez,Ingreso  Trevelin,32,XLS-INGRESO-TREVELIN-37-R32
2026-04-02,INBOUND,CONFIRMED,37,Noha,NOHA-48,3023.000,,Trevelin,,F33/G33 | Transporte: walter gonzalez,Ingreso  Trevelin,33,XLS-INGRESO-TREVELIN-37-R33
2026-04-02,INBOUND,CONFIRMED,37,Farida,FARIDA-44,1814.000,,Trevelin,,F34/G34 | Transporte: walter gonzalez,Ingreso  Trevelin,34,XLS-INGRESO-TREVELIN-37-R34
2026-04-02,INBOUND,CONFIRMED,37,Beo,BEO-50,1264.000,,Trevelin,,F35/G35 | Transporte: walter gonzalez,Ingreso  Trevelin,35,XLS-INGRESO-TREVELIN-37-R35
2026-04-02,INBOUND,CONFIRMED,37,Sunred,SUNRED-45,2033.000,,Trevelin,,F36/G36 | Transporte: walter gonzalez,Ingreso  Trevelin,36,XLS-INGRESO-TREVELIN-37-R36
2026-04-02,INBOUND,CONFIRMED,37,Picus,PICUS-53,1539.000,,Trevelin,,F37/G37 | Transporte: walter gonzalez,Ingreso  Trevelin,37,XLS-INGRESO-TREVELIN-37-R37
2026-04-02,INBOUND,CONFIRMED,37,Linus,LINUS-52,440.000,,Trevelin,,F38/G38 | Transporte: walter gonzalez,Ingreso  Trevelin,38,XLS-INGRESO-TREVELIN-37-R38
2026-04-02,INBOUND,CONFIRMED,37,Primus,PRIMUS-54,2418.000,,Trevelin,,F39/G39 | Transporte: walter gonzalez,Ingreso  Trevelin,39,XLS-INGRESO-TREVELIN-37-R39
2026-04-02,INBOUND,CONFIRMED,37,Quintera,QUINTERA-43,1648.000,,Trevelin,,F40/G40 | Transporte: walter gonzalez,Ingreso  Trevelin,40,XLS-INGRESO-TREVELIN-37-R40
2026-04-02,INBOUND,CONFIRMED,37,Memphis,MEMPHIS-46,1758.000,,Trevelin,,F41/G41 | Transporte: walter gonzalez,Ingreso  Trevelin,41,XLS-INGRESO-TREVELIN-37-R41
2026-04-02,INBOUND,CONFIRMED,37,Sababa,SABABA-41,3517.000,,Trevelin,,F42/G42 | Transporte: walter gonzalez,Ingreso  Trevelin,42,XLS-INGRESO-TREVELIN-37-R42
2026-04-03,INBOUND,CONFIRMED,38,Tilbury,TILBURY-47,1051.000,,Trevelin,,F43/G43 | Transporte: el salvador,Ingreso  Trevelin,43,XLS-INGRESO-TREVELIN-38-R43
2026-04-03,INBOUND,CONFIRMED,38,Sababa,SABABA-41,14776.000,,Trevelin,,F44/G44 | Transporte: el salvador,Ingreso  Trevelin,44,XLS-INGRESO-TREVELIN-38-R44
2026-04-03,INBOUND,CONFIRMED,38,Red Magic,RED-MAGIC-49,830.000,,Trevelin,,F45/G45 | Transporte: el salvador,Ingreso  Trevelin,45,XLS-INGRESO-TREVELIN-38-R45
2026-04-03,INBOUND,CONFIRMED,38,Orchestra,ORCHESTRA-31,1245.000,,Trevelin,,F46/G46 | Transporte: el salvador,Ingreso  Trevelin,46,XLS-INGRESO-TREVELIN-38-R46
2026-04-03,INBOUND,CONFIRMED,38,Acoustic,ACOUSTIC-32,1024.000,,Trevelin,,F47/G47 | Transporte: el salvador,Ingreso  Trevelin,47,XLS-INGRESO-TREVELIN-38-R47
2026-04-03,INBOUND,CONFIRMED,38,Rock,ROCK-33,913.000,,Trevelin,,F48/G48 | Transporte: el salvador,Ingreso  Trevelin,48,XLS-INGRESO-TREVELIN-38-R48
2026-04-03,INBOUND,CONFIRMED,38,Sound,SOUND-34,1134.000,,Trevelin,,F49/G49 | Transporte: el salvador,Ingreso  Trevelin,49,XLS-INGRESO-TREVELIN-38-R49
2026-04-03,INBOUND,CONFIRMED,38,7 Four 7,7-FOUR-7-17,16436.000,,Trevelin,,F50/G50 | Transporte: el salvador,Ingreso  Trevelin,50,XLS-INGRESO-TREVELIN-38-R50
2026-04-03,DISPATCH,CONFIRMED,1109,Agata,AGATA-241,2934.000,Dospanca,,,"Retiro de frío. bolsa roja-hilo blanco sin tamañar 48,90 kg | Transporte: cerone(raphael)",Ret Frio,5,XLS-RET-FRIO-1109-R5
2026-04-06,INBOUND,CONFIRMED,33,Atlantic,ATLANTIC-11,1413.000,,Trevelin,,F51/G51 | Transporte: nazer,Ingreso  Trevelin,51,XLS-INGRESO-TREVELIN-33-R51
2026-04-06,INBOUND,CONFIRMED,33,Spunta,SPUNTA-13,20940.000,,Trevelin,,F52/G52 | Transporte: nazer,Ingreso  Trevelin,52,XLS-INGRESO-TREVELIN-33-R52
2026-04-06,INBOUND,CONFIRMED,33,Daifla,DAIFLA-15,12721.000,,Trevelin,,F53/G53 | Transporte: nazer,Ingreso  Trevelin,53,XLS-INGRESO-TREVELIN-33-R53
2026-04-06,INBOUND,CONFIRMED,35,Daifla,DAIFLA-15,4515.000,,Trevelin,,F54/G54 | Transporte: rosemberg pablo,Ingreso  Trevelin,54,XLS-INGRESO-TREVELIN-35-R54
2026-04-06,INBOUND,CONFIRMED,35,King Russet,KING-RUSSET-10-B,23090.000,,Trevelin,,F55/G55 | Transporte: rosemberg pablo,Ingreso  Trevelin,55,XLS-INGRESO-TREVELIN-35-R55
2026-04-06,INBOUND,CONFIRMED,35,Atlantic,ATLANTIC-1,6105.000,,Trevelin,,F56/G56 | Transporte: rosemberg pablo,Ingreso  Trevelin,56,XLS-INGRESO-TREVELIN-35-R56
2026-04-06,INBOUND,CONFIRMED,35,Ludmilla,LUDMILLA-6,667.000,,Trevelin,,F57/G57 | Transporte: rosemberg pablo,Ingreso  Trevelin,57,XLS-INGRESO-TREVELIN-35-R57
2026-04-06,INBOUND,CONFIRMED,41,Ludmilla,LUDMILLA-16-B,6324.000,,Trevelin,,F58/G58 | Transporte: s.garcia(scho),Ingreso  Trevelin,58,XLS-INGRESO-TREVELIN-41-R58
2026-04-06,INBOUND,CONFIRMED,41,Agata,AGATA-22,29890.000,,Trevelin,,F59/G59 | Transporte: s.garcia(scho),Ingreso  Trevelin,59,XLS-INGRESO-TREVELIN-41-R59
2026-04-07,INBOUND,CONFIRMED,40,Edison,EDISON-9-B,17718.000,,Trevelin,,F60/G60 | Transporte: el salvador,Ingreso  Trevelin,60,XLS-INGRESO-TREVELIN-40-R60
